mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,,
CA-IL,CA,North America,High,IL,Middle East & North Africa,High,489,4787,123,0.02569459,327199,366,0.001118585,22.97061201,0.001472954,,
GR-NL,GR,Europe & Central Asia,High,NL,Europe & Central Asia,High,488,3609,133,0.036852314,60367,355,0.005880696,6.266658081,0.00762786,,
BE-AU,BE,Europe & Central Asia,High,AU,East Asia & Pacific,High,488,5050,164,0.032475248,78657,324,0.00411915,7.88396773,0.005829859,,
RU-CH,RU,Europe & Central Asia,Upper middle,CH,Europe & Central Asia,High,488,5187,137,0.026412184,262324,351,0.00133804,19.73945822,0.001824224,,
UK-AE,UK,Europe & Central Asia,High,AE,Middle East & North Africa,High,487,2378,52,0.021867115,617695,435,0.000704231,31.05105227,0.000785391,,
BD-CA,BD,South Asia,Lower middle,CA,North America,High,487,937,53,0.056563501,23166,434,0.018734352,3.019239754,0.020204954,,
VE-US,VE,Latin America & Caribbean,Upper middle,US,North America,High,484,1454,197,0.135488308,5148,287,0.055749806,2.430292022,0.073311118,,
IT-IL,IT,Europe & Central Asia,High,IL,Middle East & North Africa,High,484,7922,113,0.014264075,307901,371,0.001204933,11.83806704,0.001532504,,
SE-ES,SE,Europe & Central Asia,High,ES,Europe & Central Asia,High,483,6904,173,0.025057937,95671,310,0.003240271,7.73328365,0.00470875,,
MY-PK,MY,East Asia & Pacific,Upper middle,PK,South Asia,Lower middle,482,2874,203,0.070633264,69244,279,0.00402923,17.53021403,0.006683491,,
BR-CO,BR,Latin America & Caribbean,Upper middle,CO,Latin America & Caribbean,Upper middle,482,5095,105,0.02060844,401592,377,0.000938764,21.95274402,0.001185187,,
PL-CH,PL,Europe & Central Asia,High,CH,Europe & Central Asia,High,482,4354,150,0.034451079,107235,332,0.003096004,11.1275949,0.004319422,,
UK-CY,UK,Europe & Central Asia,High,CY,Europe & Central Asia,High,479,2198,65,0.029572338,617875,414,0.000670038,44.13528658,0.00077249,,
SE-JP,SE,Europe & Central Asia,High,JP,East Asia & Pacific,High,476,4837,154,0.031837916,97738,322,0.003294522,9.663895156,0.004640507,,
PT-NL,PT,Europe & Central Asia,High,NL,Europe & Central Asia,High,475,4958,158,0.031867689,58764,317,0.005394459,5.907485337,0.007454254,,
CL-DE,CL,Latin America & Caribbean,High,DE,Europe & Central Asia,High,474,3424,173,0.050525701,32421,301,0.009284106,5.442171927,0.013223602,,
DK-CA,DK,Europe & Central Asia,High,CA,North America,High,474,4728,179,0.03785956,57198,295,0.005157523,7.340647853,0.007654297,,
UK-TW,UK,Europe & Central Asia,High,TW,East Asia & Pacific,High,472,4208,89,0.02115019,615865,383,0.00062189,34.00956093,0.000761201,,
JP-BE,JP,East Asia & Pacific,High,BE,Europe & Central Asia,High,472,5163,144,0.027890761,926198,328,0.000354136,78.75721716,0.000506785,,
CA-IE,CA,North America,High,IE,Europe & Central Asia,High,470,3563,97,0.027224249,328423,373,0.00113573,23.97069599,0.001415722,,
US-NP,US,North America,High,NP,South Asia,Lower middle,470,1706,52,0.030480657,2613971,418,0.00015991,190.6113688,0.000179686,,
UA-PL,UA,Europe & Central Asia,Lower middle,PL,Europe & Central Asia,High,468,4874,228,0.046778826,49812,240,0.004818116,9.708945425,0.008557949,,
CL-UK,CL,Latin America & Caribbean,High,UK,Europe & Central Asia,High,468,3508,151,0.04304447,32337,317,0.009803012,4.390943279,0.013056214,,
AU-DK,AU,East Asia & Pacific,High,DK,Europe & Central Asia,High,467,5948,145,0.024377942,217142,322,0.001482901,16.43936372,0.002093326,,
PL-SE,PL,Europe & Central Asia,High,SE,Europe & Central Asia,High,467,4940,146,0.029554656,106649,321,0.003009874,9.819235184,0.004185,,
IT-NO,IT,Europe & Central Asia,High,NO,Europe & Central Asia,High,466,7176,136,0.018952062,308647,330,0.001069183,17.72574913,0.00147551,,
AT-NL,AT,Europe & Central Asia,High,NL,Europe & Central Asia,High,465,5482,155,0.028274352,60657,310,0.005110704,5.532378694,0.007030648,,
IE-AU,IE,Europe & Central Asia,High,AU,East Asia & Pacific,High,464,2684,104,0.038748137,38506,360,0.009349192,4.144543799,0.01126487,,
RU-CA,RU,Europe & Central Asia,Upper middle,CA,North America,High,464,4500,117,0.026,263011,347,0.001319336,19.70687608,0.001734508,,
FI-CA,FI,Europe & Central Asia,High,CA,North America,High,458,3745,142,0.037917223,50756,316,0.006225865,6.090273952,0.008403516,,
EG-JP,EG,Middle East & North Africa,Lower middle,JP,East Asia & Pacific,High,457,2635,158,0.059962049,66338,299,0.004507221,13.30355327,0.006625781,,
FR-CZ,FR,Europe & Central Asia,High,CZ,Europe & Central Asia,High,454,7266,123,0.016928159,369242,331,0.000896431,18.883949,0.001205818,,
IL-FR,IL,Middle East & North Africa,High,FR,Europe & Central Asia,High,453,4379,129,0.029458781,62262,324,0.005203816,5.660995661,0.006797617,,
CH-JP,CH,Europe & Central Asia,High,JP,East Asia & Pacific,High,449,5277,136,0.025772219,106143,313,0.002948852,8.73974648,0.004029797,,
JP-ES,JP,East Asia & Pacific,High,ES,Europe & Central Asia,High,448,7216,119,0.016491131,924145,329,0.000356005,46.32278447,0.000481016,,
BE-SE,BE,Europe & Central Asia,High,SE,Europe & Central Asia,High,447,6021,162,0.02690583,77686,285,0.003668615,7.334057116,0.005340055,,
IE-DE,IE,Europe & Central Asia,High,DE,Europe & Central Asia,High,447,4289,150,0.034973187,36901,297,0.008048562,4.345271319,0.010852149,,
AU-IN,AU,East Asia & Pacific,High,IN,South Asia,Lower middle,447,4973,97,0.019505329,218117,350,0.001604643,12.1555537,0.002003676,,
ES-IE,ES,Europe & Central Asia,High,IE,Europe & Central Asia,High,447,4995,78,0.015615616,343696,369,0.001073623,14.54478218,0.001281937,,
