mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,,
AU-SG,AU,East Asia & Pacific,High,SG,East Asia & Pacific,High,1089,6100,241,0.039508197,216990,848,0.003908014,10.10953255,0.004881438,,
UK-PT,UK,Europe & Central Asia,High,PT,Europe & Central Asia,High,1080,12056,240,0.0199071,608017,840,0.00138154,14.4093516,0.00174173,,
AU-FR,AU,East Asia & Pacific,High,FR,Europe & Central Asia,High,1080,11391,341,0.029935914,211699,739,0.003490805,8.57564699,0.004841096,,
NL-ES,NL,Europe & Central Asia,High,ES,Europe & Central Asia,High,1062,14035,341,0.024296402,157584,721,0.004575338,5.310297073,0.006188126,,
IN-TW,IN,South Asia,Lower middle,TW,East Asia & Pacific,High,1058,4189,195,0.046550489,433235,863,0.00199199,23.36883113,0.002418706,,
CH-NL,CH,Europe & Central Asia,High,NL,Europe & Central Asia,High,1044,9964,338,0.03392212,101456,706,0.006958682,4.874791175,0.009369952,,
BR-AU,BR,Latin America & Caribbean,Upper middle,AU,East Asia & Pacific,High,1043,9777,332,0.033957247,396910,711,0.001791338,18.95635829,0.002564626,,
US-HU,US,North America,High,HU,Europe & Central Asia,High,1040,11912,324,0.027199463,2603765,716,0.000274986,98.91202384,0.000397603,,
KR-CA,KR,East Asia & Pacific,High,CA,North America,High,1037,7279,280,0.038466822,301563,757,0.002510255,15.32387101,0.003357704,,
IN-IL,IN,South Asia,Lower middle,IL,Middle East & North Africa,High,1036,2403,74,0.03079484,435021,962,0.002211387,13.9255738,0.002368411,,
CA-JP,CA,North America,High,JP,East Asia & Pacific,High,1034,11126,315,0.028312062,320860,719,0.002240853,12.6345037,0.003114589,,
US-PK,US,North America,High,PK,South Asia,Lower middle,1032,6696,199,0.029719235,2608981,833,0.000319282,93.0815371,0.000394544,,
ES-CL,ES,Europe & Central Asia,High,CL,Latin America & Caribbean,High,1027,9039,257,0.028432349,339652,770,0.002267026,12.54169364,0.002945301,,
BR-IT,BR,Latin America & Caribbean,Upper middle,IT,Europe & Central Asia,High,1022,12607,364,0.028872848,394080,658,0.001669712,17.29211566,0.002512989,,
US-IR,US,North America,High,IR,Middle East & North Africa,Lower middle,1020,8550,217,0.025380117,2607127,803,0.000308002,82.40247595,0.000389956,,
LB-US,LB,Middle East & North Africa,Upper middle,US,North America,High,1011,2019,337,0.166914314,6197,674,0.108762304,1.534670629,0.12305258,,
DE-PL,DE,Europe & Central Asia,High,PL,Europe & Central Asia,High,1006,20199,337,0.016683994,597726,669,0.001119242,14.90651293,0.001628029,,
CN-IT,CN,East Asia & Pacific,Upper middle,IT,Europe & Central Asia,High,991,16220,307,0.01892725,2003307,684,0.000341435,55.43434654,0.000490709,,
UK-TR,UK,Europe & Central Asia,High,TR,Europe & Central Asia,Upper middle,971,6745,134,0.019866568,613328,837,0.001364686,14.55761328,0.001565945,,
DE-IL,DE,Europe & Central Asia,High,IL,Middle East & North Africa,High,970,14180,292,0.020592384,603745,678,0.001122991,18.33709242,0.00156977,,
SG-AU,SG,East Asia & Pacific,High,AU,East Asia & Pacific,High,966,5634,292,0.051828186,48047,674,0.014027931,3.694642216,0.017995194,,
FI-DE,FI,Europe & Central Asia,High,DE,Europe & Central Asia,High,965,9084,375,0.041281374,45417,590,0.01299073,3.177756196,0.017706097,,
JP-CH,JP,East Asia & Pacific,High,CH,Europe & Central Asia,High,963,8906,226,0.025376151,922455,737,0.000798955,31.76167882,0.001033971,,
US-JO,US,North America,High,JO,Middle East & North Africa,Upper middle,962,3522,98,0.027825099,2612155,864,0.000330761,84.12438942,0.000367782,,
HU-DE,HU,Europe & Central Asia,High,DE,Europe & Central Asia,High,958,5867,379,0.064598602,25016,579,0.023145187,2.791016643,0.031020302,,
US-PT,US,North America,High,PT,Europe & Central Asia,High,955,16411,206,0.012552556,2599266,749,0.000288158,43.5613252,0.000365106,,
AU-JP,AU,East Asia & Pacific,High,JP,East Asia & Pacific,High,954,10008,332,0.033173461,213082,622,0.002919064,11.36441715,0.004276301,,
ES-AR,ES,Europe & Central Asia,High,AR,Latin America & Caribbean,Upper middle,953,7908,196,0.024785028,340783,757,0.002221355,11.15761709,0.002733079,,
KR-DE,KR,East Asia & Pacific,High,DE,Europe & Central Asia,High,947,8260,248,0.030024213,300582,699,0.002325489,12.91092706,0.003066293,,
KR-UK,KR,East Asia & Pacific,High,UK,Europe & Central Asia,High,944,9091,267,0.029369706,299751,677,0.002258541,13.00383875,0.003056579,,
NL-CN,NL,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,942,8185,352,0.043005498,163434,590,0.00361002,11.91281447,0.005488903,,
FR-LB,FR,Europe & Central Asia,High,LB,Middle East & North Africa,Upper middle,937,4784,201,0.04201505,371724,736,0.001979964,21.2201121,0.002488659,,
IL-DE,IL,Middle East & North Africa,High,DE,Europe & Central Asia,High,936,9276,347,0.037408366,57365,589,0.010267585,3.643346175,0.014045407,,
US-AE,US,North America,High,AE,Middle East & North Africa,High,934,5754,120,0.020855057,2609923,814,0.000311887,66.86743716,0.000357078,,
PT-BR,PT,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,934,7757,402,0.051824159,55965,532,0.009505941,5.451765129,0.014657418,,
AR-ES,AR,Latin America & Caribbean,Upper middle,ES,Europe & Central Asia,High,932,6528,359,0.054993873,40279,573,0.014225775,3.865790912,0.019911552,,
AU-NL,AU,East Asia & Pacific,High,NL,Europe & Central Asia,High,928,10946,293,0.026767769,212144,635,0.00299325,8.942711176,0.004159756,,
TW-JP,TW,East Asia & Pacific,High,JP,East Asia & Pacific,High,922,8378,315,0.037598472,153967,607,0.003942403,9.536942286,0.005679263,,
US-CZ,US,North America,High,CZ,Europe & Central Asia,High,922,16020,281,0.017540574,2599657,641,0.000246571,71.1380292,0.00035249,,
DE-IN,DE,Europe & Central Asia,High,IN,South Asia,Lower middle,921,10447,222,0.02125012,607478,699,0.001150659,18.46778281,0.001490472,,
UK-FI,UK,Europe & Central Asia,High,FI,Europe & Central Asia,High,921,13744,271,0.019717695,606329,650,0.001072025,18.3929389,0.001485309,,
CA-IT,CA,North America,High,IT,Europe & Central Asia,High,915,10705,266,0.024848202,321281,649,0.002020039,12.30085534,0.00275614,,
DE-BR,DE,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,915,11601,305,0.026290837,606324,610,0.001006063,26.13240238,0.001480762,,
