mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_origin,r_mobi_origin,r_coll_origin,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,prop_mobi,prop_coll
CN-BE,CN,East Asia & Pacific,Upper middle,BE,Europe & Central Asia,High,2019527,123439,635973,1115,10545,335,0.031768611,2008982,780,0.000388256,81.82380397,0.000552109,0.009032802,0.016580893
US-AR,US,North America,High,AR,Latin America & Caribbean,Upper middle,2615677,243148,926952,1115,14447,237,0.01640479,2601230,878,0.000337533,48.60208621,0.000426276,0.004585684,0.015585489
SA-US,SA,Middle East & North Africa,High,US,North America,High,30776,5123,18245,1110,5994,454,0.075742409,24782,656,0.026470826,2.86135424,0.036067065,0.21666992,0.328528364
AT-CH,AT,Europe & Central Asia,High,CH,Europe & Central Asia,High,66139,14393,41426,1109,7469,318,0.042575981,58670,791,0.013482189,3.157942843,0.016767716,0.077051344,0.180297398
UK-AT,UK,Europe & Central Asia,High,AT,Europe & Central Asia,High,620073,107707,294247,1106,14572,277,0.019009058,605501,829,0.001369114,13.88420255,0.001783661,0.010268599,0.04952302
UK-TH,UK,Europe & Central Asia,High,TH,East Asia & Pacific,Upper middle,620073,107707,294247,1094,4458,114,0.025572005,615615,980,0.001591904,16.06378581,0.001764308,0.010157186,0.015150537
AU-SG,AU,East Asia & Pacific,High,SG,East Asia & Pacific,High,223090,37804,111340,1089,6100,241,0.039508197,216990,848,0.003908014,10.10953255,0.004881438,0.028806476,0.054787138
UK-PT,UK,Europe & Central Asia,High,PT,Europe & Central Asia,High,620073,107707,294247,1080,12056,240,0.0199071,608017,840,0.00138154,14.4093516,0.00174173,0.010027203,0.04097238
AU-FR,AU,East Asia & Pacific,High,FR,Europe & Central Asia,High,223090,37804,111340,1080,11391,341,0.029935914,211699,739,0.003490805,8.57564699,0.004841096,0.028568405,0.102308245
NL-ES,NL,Europe & Central Asia,High,ES,Europe & Central Asia,High,171619,36327,103040,1062,14035,341,0.024296402,157584,721,0.004575338,5.310297073,0.006188126,0.029234454,0.136209239
IN-TW,IN,South Asia,Lower middle,TW,East Asia & Pacific,High,437424,50061,117155,1058,4189,195,0.046550489,433235,863,0.00199199,23.36883113,0.002418706,0.021134216,0.03575605
CH-NL,CH,Europe & Central Asia,High,NL,Europe & Central Asia,High,111420,26940,72388,1044,9964,338,0.03392212,101456,706,0.006958682,4.874791175,0.009369952,0.038752784,0.137647124
BR-AU,BR,Latin America & Caribbean,Upper middle,AU,East Asia & Pacific,High,406687,33809,138687,1043,9777,332,0.033957247,396910,711,0.001791338,18.95635829,0.002564626,0.030849774,0.070496874
US-HU,US,North America,High,HU,Europe & Central Asia,High,2615677,243148,926952,1040,11912,324,0.027199463,2603765,716,0.000274986,98.91202384,0.000397603,0.00427723,0.012850719
KR-CA,KR,East Asia & Pacific,High,CA,North America,High,308842,28777,104711,1037,7279,280,0.038466822,301563,757,0.002510255,15.32387101,0.003357704,0.036035723,0.069515142
IN-IL,IN,South Asia,Lower middle,IL,Middle East & North Africa,High,437424,50061,117155,1036,2403,74,0.03079484,435021,962,0.002211387,13.9255738,0.002368411,0.020694752,0.020511288
CA-JP,CA,North America,High,JP,East Asia & Pacific,High,331986,58798,157507,1034,11126,315,0.028312062,320860,719,0.002240853,12.6345037,0.003114589,0.017585632,0.07063813
US-PK,US,North America,High,PK,South Asia,Lower middle,2615677,243148,926952,1032,6696,199,0.029719235,2608981,833,0.000319282,93.0815371,0.000394544,0.004244329,0.007223675
ES-CL,ES,Europe & Central Asia,High,CL,Latin America & Caribbean,High,348691,47132,149667,1027,9039,257,0.028432349,339652,770,0.002267026,12.54169364,0.002945301,0.021789867,0.060394075
BR-IT,BR,Latin America & Caribbean,Upper middle,IT,Europe & Central Asia,High,406687,33809,138687,1022,12607,364,0.028872848,394080,658,0.001669712,17.29211566,0.002512989,0.030228637,0.090902536
US-IR,US,North America,High,IR,Middle East & North Africa,Lower middle,2615677,243148,926952,1020,8550,217,0.025380117,2607127,803,0.000308002,82.40247595,0.000389956,0.004194976,0.009223779
LB-US,LB,Middle East & North Africa,Upper middle,US,North America,High,8216,2260,4693,1011,2019,337,0.166914314,6197,674,0.108762304,1.534670629,0.12305258,0.447345133,0.430215214
DE-PL,DE,Europe & Central Asia,High,PL,Europe & Central Asia,High,617925,99584,325627,1006,20199,337,0.016683994,597726,669,0.001119242,14.90651293,0.001628029,0.010102024,0.062031097
CN-IT,CN,East Asia & Pacific,Upper middle,IT,Europe & Central Asia,High,2019527,123439,635973,991,16220,307,0.01892725,2003307,684,0.000341435,55.43434654,0.000490709,0.008028257,0.025504227
UK-TR,UK,Europe & Central Asia,High,TR,Europe & Central Asia,Upper middle,620073,107707,294247,971,6745,134,0.019866568,613328,837,0.001364686,14.55761328,0.001565945,0.009015199,0.022922919
DE-IL,DE,Europe & Central Asia,High,IL,Middle East & North Africa,High,617925,99584,325627,970,14180,292,0.020592384,603745,678,0.001122991,18.33709242,0.00156977,0.009740521,0.043546757
SG-AU,SG,East Asia & Pacific,High,AU,East Asia & Pacific,High,53681,10796,30058,966,5634,292,0.051828186,48047,674,0.014027931,3.694642216,0.017995194,0.089477584,0.187437621
FI-DE,FI,Europe & Central Asia,High,DE,Europe & Central Asia,High,54501,10514,33625,965,9084,375,0.041281374,45417,590,0.01299073,3.177756196,0.017706097,0.091782385,0.270156134
JP-CH,JP,East Asia & Pacific,High,CH,Europe & Central Asia,High,931361,62618,201783,963,8906,226,0.025376151,922455,737,0.000798955,31.76167882,0.001033971,0.015378965,0.044136523
US-JO,US,North America,High,JO,Middle East & North Africa,Upper middle,2615677,243148,926952,962,3522,98,0.027825099,2612155,864,0.000330761,84.12438942,0.000367782,0.003956438,0.003799549
HU-DE,HU,Europe & Central Asia,High,DE,Europe & Central Asia,High,30883,6175,18020,958,5867,379,0.064598602,25016,579,0.023145187,2.791016643,0.031020302,0.1551417,0.325582686
US-PT,US,North America,High,PT,Europe & Central Asia,High,2615677,243148,926952,955,16411,206,0.012552556,2599266,749,0.000288158,43.5613252,0.000365106,0.003927649,0.017704261
AU-JP,AU,East Asia & Pacific,High,JP,East Asia & Pacific,High,223090,37804,111340,954,10008,332,0.033173461,213082,622,0.002919064,11.36441715,0.004276301,0.025235425,0.089886833
ES-AR,ES,Europe & Central Asia,High,AR,Latin America & Caribbean,Upper middle,348691,47132,149667,953,7908,196,0.024785028,340783,757,0.002221355,11.15761709,0.002733079,0.020219808,0.052837299
KR-DE,KR,East Asia & Pacific,High,DE,Europe & Central Asia,High,308842,28777,104711,947,8260,248,0.030024213,300582,699,0.002325489,12.91092706,0.003066293,0.032908225,0.078883785
KR-UK,KR,East Asia & Pacific,High,UK,Europe & Central Asia,High,308842,28777,104711,944,9091,267,0.029369706,299751,677,0.002258541,13.00383875,0.003056579,0.032803975,0.086819914
NL-CN,NL,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,171619,36327,103040,942,8185,352,0.043005498,163434,590,0.00361002,11.91281447,0.005488903,0.025931126,0.079435171
FR-LB,FR,Europe & Central Asia,High,LB,Middle East & North Africa,Upper middle,376508,76371,193058,937,4784,201,0.04201505,371724,736,0.001979964,21.2201121,0.002488659,0.012269055,0.024780118
IL-DE,IL,Middle East & North Africa,High,DE,Europe & Central Asia,High,66641,13730,34396,936,9276,347,0.037408366,57365,589,0.010267585,3.643346175,0.014045407,0.068171886,0.269682521
US-AE,US,North America,High,AE,Middle East & North Africa,High,2615677,243148,926952,934,5754,120,0.020855057,2609923,814,0.000311887,66.86743716,0.000357078,0.003841282,0.006207441
PT-BR,PT,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,63722,9785,34955,934,7757,402,0.051824159,55965,532,0.009505941,5.451765129,0.014657418,0.095452223,0.221913889
AR-ES,AR,Latin America & Caribbean,Upper middle,ES,Europe & Central Asia,High,46807,7366,24052,932,6528,359,0.054993873,40279,573,0.014225775,3.865790912,0.019911552,0.126527288,0.271411941
AU-NL,AU,East Asia & Pacific,High,NL,Europe & Central Asia,High,223090,37804,111340,928,10946,293,0.026767769,212144,635,0.00299325,8.942711176,0.004159756,0.024547667,0.098311478
TW-JP,TW,East Asia & Pacific,High,JP,East Asia & Pacific,High,162345,12502,49839,922,8378,315,0.037598472,153967,607,0.003942403,9.536942286,0.005679263,0.0737482,0.168101286
US-CZ,US,North America,High,CZ,Europe & Central Asia,High,2615677,243148,926952,922,16020,281,0.017540574,2599657,641,0.000246571,71.1380292,0.00035249,0.003791929,0.017282448
DE-IN,DE,Europe & Central Asia,High,IN,South Asia,Lower middle,617925,99584,325627,921,10447,222,0.02125012,607478,699,0.001150659,18.46778281,0.001490472,0.009248474,0.03208272
UK-FI,UK,Europe & Central Asia,High,FI,Europe & Central Asia,High,620073,107707,294247,921,13744,271,0.019717695,606329,650,0.001072025,18.3929389,0.001485309,0.008550976,0.046709057
CA-IT,CA,North America,High,IT,Europe & Central Asia,High,331986,58798,157507,915,10705,266,0.024848202,321281,649,0.002020039,12.30085534,0.00275614,0.015561754,0.067965233
DE-BR,DE,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,617925,99584,325627,915,11601,305,0.026290837,606324,610,0.001006063,26.13240238,0.001480762,0.009188223,0.035626653
IL-UK,IL,Middle East & North Africa,High,UK,Europe & Central Asia,High,66641,13730,34396,907,6078,228,0.03751234,60563,679,0.011211466,3.345890755,0.01361024,0.066059723,0.176706594
CZ-DE,CZ,Europe & Central Asia,High,DE,Europe & Central Asia,High,49125,6870,27795,906,8828,421,0.047689171,40297,485,0.012035635,3.962330962,0.018442748,0.131877729,0.317611081
BE-CH,BE,Europe & Central Asia,High,CH,Europe & Central Asia,High,83707,19098,54184,906,7821,278,0.035545327,75886,628,0.008275571,4.295211243,0.010823468,0.047439522,0.144341503
DE-CZ,DE,Europe & Central Asia,High,CZ,Europe & Central Asia,High,617925,99584,325627,905,14680,238,0.016212534,603245,667,0.001105687,14.66286373,0.001464579,0.009087805,0.045082257
ES-BR,ES,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,348691,47132,149667,895,11525,276,0.023947939,337166,619,0.001835891,13.04431485,0.002566742,0.018989222,0.077004283
CH-AU,CH,Europe & Central Asia,High,AU,East Asia & Pacific,High,111420,26940,72388,893,6156,225,0.036549708,105264,668,0.006345949,5.759533564,0.008014719,0.033147736,0.08504172
JP-SE,JP,East Asia & Pacific,High,SE,Europe & Central Asia,High,931361,62618,201783,888,7684,246,0.032014576,923677,642,0.000695048,46.06094592,0.000953443,0.014181226,0.038080512
IR-UK,IR,Middle East & North Africa,Lower middle,UK,Europe & Central Asia,High,155232,20341,59089,884,9395,248,0.02639702,145837,636,0.004361033,6.052927926,0.005694702,0.043459024,0.158997445
PL-FR,PL,Europe & Central Asia,High,FR,Europe & Central Asia,High,111589,12171,49777,884,8783,392,0.044631675,102806,492,0.004785713,9.326024313,0.007921928,0.072631665,0.176446953
NO-SE,NO,Europe & Central Asia,High,SE,Europe & Central Asia,High,45792,6857,28470,880,9234,450,0.048732943,36558,430,0.011762131,4.143206854,0.019217331,0.128336007,0.324341412
ES-AU,ES,Europe & Central Asia,High,AU,East Asia & Pacific,High,348691,47132,149667,868,10899,265,0.024314157,337792,603,0.001785122,13.62044413,0.00248931,0.018416363,0.072821664
UK-PK,UK,Europe & Central Asia,High,PK,South Asia,Lower middle,620073,107707,294247,861,3564,140,0.039281706,616509,721,0.001169488,33.58880063,0.001388546,0.007993909,0.012112273
US-KE,US,North America,High,KE,Sub-Saharan Africa,Lower middle,2615677,243148,926952,853,7786,349,0.044824043,2607891,504,0.00019326,231.9369419,0.000326111,0.003508151,0.008399572
DE-FI,DE,Europe & Central Asia,High,FI,Europe & Central Asia,High,617925,99584,325627,852,15306,285,0.018620149,602619,567,0.000940893,19.78986869,0.001378808,0.008555591,0.047004702
ID-JP,ID,East Asia & Pacific,Lower middle,JP,East Asia & Pacific,High,80913,3695,15274,852,4590,260,0.05664488,76323,592,0.007756509,7.302883766,0.010529828,0.230581867,0.300510672
IT-JP,IT,Europe & Central Asia,High,JP,East Asia & Pacific,High,315823,59697,171682,850,11833,258,0.021803431,303990,592,0.001947432,11.1959882,0.002691381,0.014238571,0.068923941
SE-FR,SE,Europe & Central Asia,High,FR,Europe & Central Asia,High,102575,21422,63065,847,9397,290,0.030860913,93178,557,0.005977806,5.162581969,0.008257373,0.039538792,0.149004995
PK-UK,PK,South Asia,Lower middle,UK,Europe & Central Asia,High,38170,8271,21168,845,4344,240,0.055248619,33826,605,0.01788565,3.08899137,0.022137805,0.102164188,0.20521542
FR-DZ,FR,Europe & Central Asia,High,DZ,Middle East & North Africa,Lower middle,376508,76371,193058,843,5489,157,0.02860266,371019,686,0.001848962,15.46957764,0.002238996,0.011038221,0.02843187
UA-RU,UA,Europe & Central Asia,Lower middle,RU,Europe & Central Asia,Upper middle,54686,4818,18824,839,4971,336,0.067592034,49715,503,0.010117671,6.680592366,0.015342135,0.174138647,0.264077773
NO-UK,NO,Europe & Central Asia,High,UK,Europe & Central Asia,High,45792,6857,28470,838,9624,390,0.040523691,36168,448,0.01238664,3.271564393,0.01830014,0.122210879,0.338040042
SE-NL,SE,Europe & Central Asia,High,NL,Europe & Central Asia,High,102575,21422,63065,834,9270,277,0.029881338,93305,557,0.005969669,5.005526408,0.008130636,0.038931939,0.1469912
IT-DK,IT,Europe & Central Asia,High,DK,Europe & Central Asia,High,315823,59697,171682,828,10394,264,0.025399269,305429,564,0.001846583,13.75473985,0.002621722,0.013870044,0.060542165
DZ-FR,DZ,Middle East & North Africa,Lower middle,FR,Europe & Central Asia,High,15547,1484,9120,824,6117,519,0.084845513,9430,305,0.032343584,2.623256337,0.053000579,0.555256065,0.670723684
KR-VN,KR,East Asia & Pacific,High,VN,East Asia & Pacific,Lower middle,308842,28777,104711,824,3244,177,0.054562269,305598,647,0.00211716,25.77143775,0.002668031,0.028633979,0.030980508
MY-IR,MY,East Asia & Pacific,Upper middle,IR,Middle East & North Africa,Lower middle,72118,10457,31442,821,3340,322,0.096407186,68778,499,0.007255227,13.28796275,0.01138412,0.078512002,0.106227339
SE-FI,SE,Europe & Central Asia,High,FI,Europe & Central Asia,High,102575,21422,63065,821,9572,353,0.036878395,93003,468,0.005032096,7.32863547,0.0080039,0.038325086,0.15177991
JP-BD,JP,East Asia & Pacific,High,BD,South Asia,Lower middle,931361,62618,201783,820,2888,109,0.037742382,928473,711,0.000765773,49.28661448,0.000880432,0.013095276,0.014312405
BR-NL,BR,Latin America & Caribbean,Upper middle,NL,Europe & Central Asia,High,406687,33809,138687,819,7382,242,0.032782444,399305,577,0.001445011,22.68664422,0.002013834,0.024224319,0.053227772
BE-IT,BE,Europe & Central Asia,High,IT,Europe & Central Asia,High,83707,19098,54184,812,10566,338,0.0319894,73141,474,0.006480633,4.936153381,0.009700503,0.042517541,0.195002215
SA-EG,SA,Middle East & North Africa,High,EG,Middle East & North Africa,Lower middle,30776,5123,18245,811,6582,359,0.054542692,24194,452,0.018682318,2.919482068,0.026351703,0.15830568,0.360756372
JP-NL,JP,East Asia & Pacific,High,NL,Europe & Central Asia,High,931361,62618,201783,811,8750,195,0.022285714,922611,616,0.00066767,33.37832004,0.000870769,0.012951547,0.043363415
AU-CH,AU,East Asia & Pacific,High,CH,Europe & Central Asia,High,223090,37804,111340,808,7601,217,0.028548875,215489,591,0.002742599,10.40942226,0.003621857,0.0213734,0.068268367
ES-CO,ES,Europe & Central Asia,High,CO,Latin America & Caribbean,Upper middle,348691,47132,149667,805,5686,143,0.02514949,343005,662,0.001930001,13.03081693,0.002308634,0.017079691,0.037991007
MA-FR,MA,Middle East & North Africa,Lower middle,FR,Europe & Central Asia,High,19871,1703,8058,797,4768,368,0.077181208,15103,429,0.028404953,2.717174325,0.040108701,0.467997651,0.591710102
SE-CA,SE,Europe & Central Asia,High,CA,North America,High,102575,21422,63065,795,6407,215,0.033557047,96168,580,0.006031112,5.563989817,0.007750427,0.037111381,0.101593594
IN-IT,IN,South Asia,Lower middle,IT,Europe & Central Asia,High,437424,50061,117155,795,6779,141,0.020799528,430645,654,0.001518652,13.69604391,0.001817459,0.015880626,0.057863514
BE-CA,BE,Europe & Central Asia,High,CA,North America,High,83707,19098,54184,795,6029,190,0.031514347,77678,605,0.007788563,4.046233837,0.009497414,0.041627396,0.111269009
NL-DK,NL,Europe & Central Asia,High,DK,Europe & Central Asia,High,171619,36327,103040,792,10207,269,0.026354463,161412,523,0.003240156,8.133702717,0.004614874,0.021801965,0.099058618
SE-AU,SE,Europe & Central Asia,High,AU,East Asia & Pacific,High,102575,21422,63065,791,6671,258,0.038674861,95904,533,0.005557641,6.958862855,0.007711431,0.036924657,0.105779751
CA-IR,CA,North America,High,IR,Middle East & North Africa,Lower middle,331986,58798,157507,786,3334,133,0.039892022,328652,653,0.001986904,20.07747731,0.00236757,0.013367802,0.021167313
UK-IR,UK,Europe & Central Asia,High,IR,Middle East & North Africa,Lower middle,620073,107707,294247,781,3301,118,0.035746743,616772,663,0.001074952,33.2542842,0.001259529,0.007251154,0.011218466
JP-VN,JP,East Asia & Pacific,High,VN,East Asia & Pacific,Lower middle,931361,62618,201783,778,3660,175,0.047814208,927701,603,0.000649994,73.56100871,0.000835337,0.012424542,0.018138297
IT-BR,IT,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,315823,59697,171682,775,9689,207,0.021364434,306134,568,0.001855397,11.51475283,0.002453906,0.012982227,0.056435736
US-LB,US,North America,High,LB,Middle East & North Africa,Upper middle,2615677,243148,926952,774,4534,104,0.022937803,2611143,670,0.000256593,89.39385736,0.000295908,0.003183246,0.0048913
CH-AT,CH,Europe & Central Asia,High,AT,Europe & Central Asia,High,111420,26940,72388,769,6851,193,0.02817107,104569,576,0.005508325,5.114271893,0.006901813,0.028544915,0.094642758
FR-AT,FR,Europe & Central Asia,High,AT,Europe & Central Asia,High,376508,76371,193058,754,9031,160,0.017716753,367477,594,0.001616428,10.96043669,0.002002613,0.009872857,0.046778688
NG-US,NG,Sub-Saharan Africa,Lower middle,US,North America,High,28934,3944,11566,749,3946,282,0.071464774,24988,467,0.018688971,3.823901037,0.0258865,0.189908722,0.341172402
NG-ZA,NG,Sub-Saharan Africa,Lower middle,ZA,Sub-Saharan Africa,Upper middle,28934,3944,11566,748,2911,219,0.075231879,26023,529,0.020328171,3.700868033,0.025851939,0.189655172,0.251685976
AU-MY,AU,East Asia & Pacific,High,MY,East Asia & Pacific,Upper middle,223090,37804,111340,748,4278,120,0.028050491,218812,628,0.002870044,9.773541419,0.003352907,0.019786266,0.038422849
BD-JP,BD,South Asia,Lower middle,JP,East Asia & Pacific,High,24103,5521,9569,743,2068,187,0.090425532,22035,556,0.025232585,3.583680928,0.030826038,0.134577069,0.216114537
AU-SE,AU,East Asia & Pacific,High,SE,Europe & Central Asia,High,223090,37804,111340,742,7783,200,0.025697032,215307,542,0.002517336,10.20802743,0.003326012,0.019627553,0.069903
TN-SA,TN,Middle East & North Africa,Lower middle,SA,Middle East & North Africa,High,24450,3541,12478,741,2040,157,0.076960784,22410,584,0.026059795,2.953238316,0.030306748,0.20926292,0.163487738
CA-SE,CA,North America,High,SE,Europe & Central Asia,High,331986,58798,157507,739,7824,176,0.022494888,324162,563,0.001736786,12.95202083,0.002225997,0.012568455,0.049673983
TH-UK,TH,East Asia & Pacific,Upper middle,UK,Europe & Central Asia,High,41622,6795,20329,736,3683,250,0.067879446,37939,486,0.012810037,5.298926555,0.017682956,0.108314937,0.181169757
CZ-UK,CZ,Europe & Central Asia,High,UK,Europe & Central Asia,High,49125,6870,27795,736,6763,284,0.041993198,42362,452,0.01066994,3.93565457,0.014982188,0.10713246,0.243317143
GR-FR,GR,Europe & Central Asia,High,FR,Europe & Central Asia,High,63976,12402,31436,732,5656,228,0.040311174,58320,504,0.008641975,4.664578703,0.011441791,0.059022738,0.17992111
FR-DK,FR,Europe & Central Asia,High,DK,Europe & Central Asia,High,376508,76371,193058,728,9439,196,0.020764912,367069,532,0.001449319,14.32735961,0.001933558,0.009532414,0.048892043
IN-SE,IN,South Asia,Lower middle,SE,Europe & Central Asia,High,437424,50061,117155,722,3745,102,0.027236315,433679,620,0.001429629,19.05131918,0.001650572,0.014422405,0.031966199
MX-UK,MX,Latin America & Caribbean,Upper middle,UK,Europe & Central Asia,High,82026,10119,37635,721,4700,159,0.033829787,77326,562,0.007267931,4.654665708,0.008789896,0.0712521,0.124883752
CA-BR,CA,North America,High,BR,Latin America & Caribbean,Upper middle,331986,58798,157507,720,7083,218,0.030777919,324903,502,0.001545077,19.91999642,0.002168766,0.012245314,0.04496943
UK-EG,UK,Europe & Central Asia,High,EG,Middle East & North Africa,Lower middle,620073,107707,294247,720,4923,105,0.021328458,615150,615,0.000999756,21.33366032,0.001161154,0.006684802,0.016730842
BD-AU,BD,South Asia,Lower middle,AU,East Asia & Pacific,High,24103,5521,9569,719,1982,148,0.074672048,22121,571,0.025812576,2.892855313,0.029830312,0.130230031,0.207127182
PT-DE,PT,Europe & Central Asia,High,DE,Europe & Central Asia,High,63722,9785,34955,716,7531,284,0.037710795,56191,432,0.007688064,4.905109498,0.011236308,0.073173224,0.215448434
CN-ES,CN,East Asia & Pacific,Upper middle,ES,Europe & Central Asia,High,2019527,123439,635973,712,12220,215,0.017594108,2007307,497,0.000247595,71.05991184,0.000352558,0.005768031,0.019214652
CA-ES,CA,North America,High,ES,Europe & Central Asia,High,331986,58798,157507,709,8478,186,0.021939137,323508,523,0.001616652,13.57071931,0.002135632,0.012058233,0.053826179
HU-UK,HU,Europe & Central Asia,High,UK,Europe & Central Asia,High,30883,6175,18020,706,4612,247,0.053555941,26271,459,0.017471737,3.065290036,0.022860473,0.114331984,0.255937847
SE-CH,SE,Europe & Central Asia,High,CH,Europe & Central Asia,High,102575,21422,63065,705,6236,151,0.02421424,96339,554,0.005750527,4.210786385,0.00687302,0.032910092,0.098882106
JP-EG,JP,East Asia & Pacific,High,EG,Middle East & North Africa,Lower middle,931361,62618,201783,705,4688,173,0.03690273,926673,532,0.000574097,64.27963133,0.000756957,0.011258743,0.023232879
SK-CZ,SK,Europe & Central Asia,High,CZ,Europe & Central Asia,High,18007,2646,10342,702,5057,301,0.059521455,12950,401,0.030965251,1.922201615,0.038984839,0.265306122,0.488976987
JP-TW,JP,East Asia & Pacific,High,TW,East Asia & Pacific,High,931361,62618,201783,702,9757,197,0.020190632,921604,505,0.000547958,36.84706446,0.000753736,0.011210834,0.048353925
IN-MY,IN,South Asia,Lower middle,MY,East Asia & Pacific,Upper middle,437424,50061,117155,699,5460,108,0.01978022,431964,591,0.00136817,14.45743292,0.001597992,0.013962965,0.046604925
MX-FR,MX,Latin America & Caribbean,Upper middle,FR,Europe & Central Asia,High,82026,10119,37635,699,4866,225,0.046239211,77160,474,0.006143079,7.527041159,0.008521688,0.069077972,0.12929454
UK-PL,UK,Europe & Central Asia,High,PL,Europe & Central Asia,High,620073,107707,294247,696,11795,196,0.016617211,608278,500,0.000821993,20.21576736,0.001122448,0.006461976,0.04008537
DE-EG,DE,Europe & Central Asia,High,EG,Middle East & North Africa,Lower middle,617925,99584,325627,691,5362,139,0.025923163,612563,552,0.000901132,28.76733786,0.001118259,0.006938866,0.016466693
SE-CN,SE,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,102575,21422,63065,687,5789,286,0.049404042,96786,401,0.004143161,11.92423846,0.006697538,0.032069835,0.091794181
UA-DE,UA,Europe & Central Asia,Lower middle,DE,Europe & Central Asia,High,54686,4818,18824,687,3920,304,0.07755102,50766,383,0.007544419,10.27925614,0.01256263,0.142590286,0.208244794
UK-MX,UK,Europe & Central Asia,High,MX,Latin America & Caribbean,Upper middle,620073,107707,294247,682,4406,81,0.018384022,615667,601,0.000976177,18.83267145,0.00109987,0.006331993,0.014973815
ES-DK,ES,Europe & Central Asia,High,DK,Europe & Central Asia,High,348691,47132,149667,679,8712,183,0.02100551,339979,496,0.001458914,14.39804871,0.001947283,0.014406348,0.058209224
JP-IN,JP,East Asia & Pacific,High,IN,South Asia,Lower middle,931361,62618,201783,677,7631,188,0.024636352,923730,489,0.000529375,46.53852183,0.000726893,0.010811588,0.037817854
DE-GR,DE,Europe & Central Asia,High,GR,Europe & Central Asia,High,617925,99584,325627,677,10692,187,0.017489712,607233,490,0.000806939,21.67414336,0.001095602,0.006798281,0.032835115
PT-FR,PT,Europe & Central Asia,High,FR,Europe & Central Asia,High,63722,9785,34955,674,6968,258,0.037026406,56754,416,0.00732988,5.051434304,0.010577195,0.06888094,0.199342011
JP-IT,JP,East Asia & Pacific,High,IT,Europe & Central Asia,High,931361,62618,201783,665,10591,194,0.018317439,920770,471,0.000511528,35.80923273,0.000714009,0.01061995,0.052487078
MX-CA,MX,Latin America & Caribbean,Upper middle,CA,North America,High,82026,10119,37635,664,3878,163,0.042031975,78148,501,0.006410913,6.556316969,0.008094994,0.065619132,0.103042381
FR-RU,FR,Europe & Central Asia,High,RU,Europe & Central Asia,Upper middle,376508,76371,193058,655,10245,253,0.024694973,366263,402,0.001097572,22.49963919,0.001739671,0.008576554,0.053066954
IN-CH,IN,South Asia,Lower middle,CH,Europe & Central Asia,High,437424,50061,117155,654,3860,91,0.02357513,433564,563,0.00129854,18.15511094,0.001495117,0.013064062,0.032947804
CO-ES,CO,Latin America & Caribbean,Upper middle,ES,Europe & Central Asia,High,31309,4311,14388,653,4072,237,0.058202358,27237,416,0.015273341,3.810715416,0.020856623,0.151472976,0.283013622
RU-JP,RU,Europe & Central Asia,Upper middle,JP,East Asia & Pacific,High,267511,19827,85747,652,7777,282,0.036260769,259734,370,0.001424534,25.45447178,0.002437283,0.03288445,0.090697051
DK-NO,DK,Europe & Central Asia,High,NO,Europe & Central Asia,High,61926,12340,39342,649,6675,237,0.035505618,55251,412,0.007456879,4.761458492,0.010480251,0.052593193,0.169666006
JP-MY,JP,East Asia & Pacific,High,MY,East Asia & Pacific,Upper middle,931361,62618,201783,646,4499,101,0.022449433,926862,545,0.000588006,38.17894782,0.000693609,0.010316522,0.022296229
UA-US,UA,Europe & Central Asia,Lower middle,US,North America,High,54686,4818,18824,646,3929,220,0.055993892,50757,426,0.008392931,6.671553884,0.011812895,0.134080531,0.208722907
DE-IE,DE,Europe & Central Asia,High,IE,Europe & Central Asia,High,617925,99584,325627,643,8062,163,0.020218308,609863,480,0.000787062,25.68832925,0.001040579,0.006456861,0.024758389
FR-PT,FR,Europe & Central Asia,High,PT,Europe & Central Asia,High,376508,76371,193058,638,8445,131,0.015512137,368063,507,0.001377482,11.2612304,0.001694519,0.008353956,0.043743331
IR-IT,IR,Middle East & North Africa,Lower middle,IT,Europe & Central Asia,High,155232,20341,59089,638,6093,171,0.028064993,149139,467,0.003131307,8.962708637,0.004109977,0.031365223,0.103115639
AU-ID,AU,East Asia & Pacific,High,ID,East Asia & Pacific,Lower middle,223090,37804,111340,637,2469,69,0.027946537,220621,568,0.002574551,10.85491717,0.00285535,0.016850069,0.022175319
CL-ES,CL,Latin America & Caribbean,High,ES,Europe & Central Asia,High,35845,5227,18978,634,5703,258,0.045239348,30142,376,0.012474288,3.626607497,0.017687265,0.121293285,0.300505849
NL-NO,NL,Europe & Central Asia,High,NO,Europe & Central Asia,High,171619,36327,103040,629,7424,197,0.02653556,164195,432,0.002631018,10.0856628,0.003665095,0.017314945,0.072049689
SE-IT,SE,Europe & Central Asia,High,IT,Europe & Central Asia,High,102575,21422,63065,628,8584,241,0.028075489,93991,387,0.004117415,6.818716571,0.00612235,0.029315657,0.136113534
